trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
3,False,1,3,PROBABLY,"[""P"", ""R"", ""O"", ""B"", ""A"", ""B"", ""L"", ""Y""]",[],sequential,2,"[""6"", ""1"", ""6"", ""0"", ""1"", ""4"", ""1"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.4, 0.4, 0.38, 0.34, 0.37, 0.37, 0.35, 0.39]",8,12.6,False,False
4,False,1,4,PLEASE,"[""P"", ""L"", ""E"", ""A"", ""S"", ""E""]",[3],interrupted,2,"[""1"", ""7"", ""1"", ""1"", ""1"", ""0"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.27, 0.29, 0.27, 0.25, 0.27, 0.27, 0.26]",7,10.28,False,False
5,False,1,5,SOMEONE,"[""S"", ""O"", ""M"", ""E"", ""O"", ""N"", ""E""]",[],sequential,2,"[""2"", ""5"", ""7"", ""5"", ""5"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.26, 0.26, 0.25, 0.25, 0.26, 0.25]",6,8.73,False,False
6,False,1,6,THOUGHT,"[""T"", ""H"", ""O"", ""U"", ""G"", ""H"", ""T""]",[4],interrupted,1,"[""6"", ""6"", ""5"", ""6"", ""3"", ""3"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.31, 0.34, 0.31, 0.38, 0.35, 0.35, 0.37]",7,10.81,False,False
7,False,1,7,BEAUTIFUL,"[""B"", ""E"", ""A"", ""U"", ""T"", ""I"", ""F"", ""U"", ""L""]",[7],interrupted,2,"[""6"", ""0"", ""6"", ""8"", ""6"", ""2"", ""5"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.28, 0.28, 0.27, 0.28, 0.28, 0.29, 0.28, 0.27]",8,11.83,False,False
8,False,1,8,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[4],interrupted,2,"[""4"", ""9"", ""4"", ""8"", ""4"", ""4"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.27, 0.31, 0.3, 0.32, 0.27, 0.3, 0.28]",7,10.45,True,False
9,False,2,1,ALREADY,"[""A"", ""L"", ""R"", ""E"", ""A"", ""D"", ""Y""]",[6],interrupted,2,"[""2"", ""9"", ""1"", ""9"", ""2"", ""9"", ""0"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.36, 0.4, 0.34, 0.33, 0.31, 0.33, 0.35, 0.28]",8,12.3,False,False
10,False,2,2,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,1,"[""2"", ""7"", ""4"", ""4"", ""2"", ""1"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.3, 0.35, 0.31, 0.31, 0.3, 0.31, 0.33]",7,10.61,False,False
11,False,2,3,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[4],interrupted,2,"[""2"", ""3"", ""2"", ""4""]","[1.2, 1.2, 1.2, 1.2]",[2],"[0.29, 0.32, 0.31, 0.33]",4,6.05,False,False
12,False,2,4,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[4],interrupted,1,"[""3"", ""3"", ""5"", ""5"", ""1"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.29, 0.26, 0.26, 0.26, 0.29, 0.28]",6,8.84,False,False
13,False,2,5,PRESIDENT,"[""P"", ""R"", ""E"", ""S"", ""I"", ""D"", ""E"", ""N"", ""T""]",[3],interrupted,2,"[""2"", ""9"", ""2"", ""6"", ""6"", ""4"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.31, 0.39, 0.38, 0.4, 0.32, 0.36, 0.4]",7,10.96,False,False
